URL	Label	Label	Label	Score
www.20minutes.fr/societe/desintox/*	_cse_cwfn9qhuqkk	 fact-check
factcheck.afp.com/*	_cse_cwfn9qhuqkk	 fact-check
www.apnews.com/APFactCheck/*	_cse_cwfn9qhuqkk	 fact-check
africacheck.org/*	_cse_cwfn9qhuqkk	 fact-check
piaui.folha.uol.com.br/lupa/*	_cse_cwfn9qhuqkk	 fact-check
apublica.org/checagem/*	_cse_cwfn9qhuqkk	 fact-check
www.animalpolitico.com/elsabueso/*	_cse_cwfn9qhuqkk	 fact-check
aosfatos.org/*	_cse_cwfn9qhuqkk	 fact-check
www.boomlive.in/category/factcheck/*	_cse_cwfn9qhuqkk	 fact-check
correctiv.org/thema/faktencheck/*	_cse_cwfn9qhuqkk	 fact-check
chequeado.com/ultimas-noticias/*	_cse_cwfn9qhuqkk	 fact-check
climatefeedback.org/*	_cse_cwfn9qhuqkk	 fact-check
colombiacheck.com/*	_cse_cwfn9qhuqkk	 fact-check
www.dn.se/om/fakta-i-fragan/*	_cse_cwfn9qhuqkk	 fact-check
demagog.cz/*	_cse_cwfn9qhuqkk	 fact-check
www.dogrulukpayi.com/*	_cse_cwfn9qhuqkk	 fact-check
dubawa.org/*	_cse_cwfn9qhuqkk	 fact-check
factcheck.ge/ka/*	_cse_cwfn9qhuqkk	 fact-check
factcheckni.org/*	_cse_cwfn9qhuqkk	 fact-check
factcrescendo.com/*	_cse_cwfn9qhuqkk	 fact-check
factcheck.kz/*	_cse_cwfn9qhuqkk	 fact-check
www.factcheck.org/*	_cse_cwfn9qhuqkk	 fact-check
www.faktisk.no/*	_cse_cwfn9qhuqkk	 fact-check
faktograf.hr/*	_cse_cwfn9qhuqkk	 fact-check
fullfact.org/*	_cse_cwfn9qhuqkk	 fact-check
istinomjer.ba/*	_cse_cwfn9qhuqkk	 fact-check
lasillavacia.com/detector-de-mentiras/*	_cse_cwfn9qhuqkk	 fact-check
www.lavoce.info/archives/category/rubriche/fact-checking/*	_cse_cwfn9qhuqkk	 fact-check
www.lemonde.fr/*	_cse_cwfn9qhuqkk	 fact-check
leadstories.com/*	_cse_cwfn9qhuqkk	 fact-check
www.liberation.fr/checknews,100893/*	_cse_cwfn9qhuqkk	 fact-check
www.liputan6.com/*	_cse_cwfn9qhuqkk	 fact-check
maldita.es/malditobulo/*	_cse_cwfn9qhuqkk	 fact-check
newsmobile.in/articles/category/nm-fact-checker/*	_cse_cwfn9qhuqkk	 fact-check
newtral.es/verificacion/*	_cse_cwfn9qhuqkk	 fact-check
observador.pt/seccao/observador/fact-check/*	_cse_cwfn9qhuqkk	 fact-check
pagellapolitica.it/bufale/index/*	_cse_cwfn9qhuqkk	 fact-check
www.15min.lt/patikrinta-15min/*	_cse_cwfn9qhuqkk	 fact-check
pesacheck.org/*	_cse_cwfn9qhuqkk	 fact-check
www.politifact.com/*	_cse_cwfn9qhuqkk	 fact-check
www.rappler.com/newsbreak/fact-check/*	_cse_cwfn9qhuqkk	 fact-check
www.snopes.com/*	_cse_cwfn9qhuqkk	 fact-check
www.indiatoday.in/fact-check/*	_cse_cwfn9qhuqkk	 fact-check
tfc-taiwan.org.tw/*	_cse_cwfn9qhuqkk	 fact-check
theconversation.com/au/factcheck/*	_cse_cwfn9qhuqkk	 fact-check
www.thejournal.ie/factcheck/news/*	_cse_cwfn9qhuqkk	 fact-check
www.washingtonpost.com/news/fact-checker/*	_cse_cwfn9qhuqkk	 fact-check
www.thewhistle.co.il/feed/*	_cse_cwfn9qhuqkk	 fact-check
tirto.id/*	_cse_cwfn9qhuqkk	 fact-check
www.mm.dk/tjekdet/*	_cse_cwfn9qhuqkk	 fact-check
verafiles.org/specials/fact-check/*	_cse_cwfn9qhuqkk	 fact-check
www.metro.se/viralgranskaren/*	_cse_cwfn9qhuqkk	 fact-check
voxukraine.org/uk/voxcheck/*	_cse_cwfn9qhuqkk	 fact-check
teyit.org/*	_cse_cwfn9qhuqkk	 fact-check
